Scenario,Entities,Colliders,Avg(ms),Min(ms),Max(ms),P50(ms),P95(ms),P99(ms),StdDev(ms),FramesWithinBudget,FramesExceeding,Stability(%),EstimatedFPS,TotalCollisions,AvgCollisionsPerFrame,MaxCollisionsPerFrame
Static(1k),1000,0,0.288,0.054,11.237,0.061,0.264,11.237,1.428,59,1,98.3,3473.3,0,0.00,0
Linear-10spheres,10,10,0.301,0.149,4.054,0.185,0.589,3.975,0.540,120,0,100.0,3323.0,0,0.00,0
Linear-50spheres,50,50,0.464,0.281,2.320,0.406,0.700,1.809,0.243,120,0,100.0,2153.4,0,0.00,0
Linear-100spheres,100,100,0.562,0.438,1.914,0.568,0.625,0.803,0.141,120,0,100.0,1780.6,0,0.00,0
Falling-10spheres,10,10,0.091,0.062,0.358,0.078,0.130,0.256,0.034,180,0,100.0,10948.2,0,0.00,0
Falling-50spheres,50,50,0.308,0.225,1.368,0.285,0.390,0.437,0.096,180,0,100.0,3245.7,0,0.00,0
Falling-100spheres,100,100,0.562,0.410,1.961,0.490,0.725,0.942,0.158,180,0,100.0,1780.4,0,0.00,0
Falling-250spheres,250,250,1.422,1.039,2.833,1.293,1.898,2.548,0.348,180,0,100.0,703.2,0,0.00,0
Falling-500spheres,500,500,2.980,2.121,4.905,2.521,4.220,4.816,0.812,180,0,100.0,335.6,0,0.00,0
Spheres-100,100,100,0.528,0.419,1.694,0.466,0.726,0.826,0.140,120,0,100.0,1894.6,0,0.00,0
Boxes-100,100,100,0.716,0.447,6.638,0.619,1.053,2.198,0.594,120,0,100.0,1396.1,0,0.00,0
Spheres-50,50,50,0.268,0.209,1.551,0.229,0.364,0.483,0.128,120,0,100.0,3733.4,0,0.00,0
Boxes-50,50,50,0.289,0.220,0.544,0.228,0.507,0.542,0.099,120,0,100.0,3457.6,0,0.00,0
Stacked-10x10,385,385,3.961,2.301,6.206,4.087,4.324,5.001,0.472,180,0,100.0,252.5,0,0.00,0
Stacked-15x15,1240,1240,13.967,6.663,19.723,14.319,16.381,18.179,2.068,4,176,2.2,71.6,0,0.00,0
Mixed-70dyn+30static,100,100,0.384,0.308,1.003,0.349,0.507,0.537,0.081,120,0,100.0,2605.6,0,0.00,0
Mixed-200dyn+100static,300,300,1.118,0.916,2.586,1.017,1.453,2.365,0.239,120,0,100.0,894.3,0,0.00,0
