Scenario,Entities,Colliders,Avg(ms),Min(ms),Max(ms),P50(ms),P95(ms),P99(ms),StdDev(ms),FramesWithinBudget,FramesExceeding,Stability(%),EstimatedFPS,TotalCollisions,AvgCollisionsPerFrame,MaxCollisionsPerFrame
Static(1k),1000,0,1.015,0.084,51.166,0.134,0.358,51.166,6.530,59,1,98.3,985.0,0,0.00,0
Linear-10spheres,10,10,0.560,0.234,10.350,0.304,0.947,8.407,1.257,118,2,98.3,1785.3,0,0.00,0
Linear-50spheres,50,50,0.812,0.448,5.586,0.635,2.220,4.053,0.675,120,0,100.0,1231.6,0,0.00,0
Linear-100spheres,100,100,0.961,0.663,2.767,0.861,1.582,2.566,0.339,120,0,100.0,1040.6,0,0.00,0
Falling-10spheres,10,10,0.199,0.094,5.443,0.119,0.319,2.486,0.457,180,0,100.0,5036.2,0,0.00,0
Falling-50spheres,50,50,0.541,0.340,3.934,0.468,0.839,3.358,0.379,180,0,100.0,1848.8,0,0.00,0
Falling-100spheres,100,100,0.897,0.466,2.562,0.810,1.254,2.461,0.263,180,0,100.0,1115.4,0,0.00,0
Falling-250spheres,250,250,2.253,1.212,3.956,2.137,3.403,3.908,0.599,180,0,100.0,443.9,0,0.00,0
Falling-500spheres,500,500,4.252,2.395,7.826,3.886,6.419,7.424,1.296,175,5,97.2,235.2,0,0.00,0
Spheres-100,100,100,0.798,0.489,2.051,0.715,1.095,1.338,0.194,120,0,100.0,1252.5,0,0.00,0
Boxes-100,100,100,0.887,0.480,2.185,0.718,1.596,1.739,0.337,120,0,100.0,1127.7,0,0.00,0
Spheres-50,50,50,0.329,0.233,1.196,0.335,0.432,0.656,0.109,120,0,100.0,3042.4,0,0.00,0
Boxes-50,50,50,0.415,0.229,0.874,0.355,0.743,0.857,0.162,120,0,100.0,2409.0,0,0.00,0
Stacked-10x10,385,385,6.047,2.605,8.949,6.256,7.133,7.497,0.893,166,14,92.2,165.4,0,0.00,0
Stacked-15x15,1240,1240,20.449,9.803,26.130,21.484,23.625,24.443,3.200,0,180,0.0,48.9,0,0.00,0
Mixed-70dyn+30static,100,100,0.487,0.351,1.501,0.511,0.618,0.724,0.124,120,0,100.0,2053.8,0,0.00,0
Mixed-200dyn+100static,300,300,1.232,1.026,2.999,1.108,1.570,2.583,0.284,120,0,100.0,811.6,0,0.00,0
